CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,OWNSHP_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75
Residual Sub Area,4,13B,13B,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT,2019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residual Sub Area,4,13D,13D,SOUTH,N/A,UNDEVELOPED,2019,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,KEL,KELVIN GROVE,SOUTH,BUILT-OUT,1960s/1970s,2019,,2305,903,121,426,416,129,39,34,285,354,16,0,505,26,0,0,0,0,0,2,0,0,0,1037,1265,58,118,39,47,109,174,120,153,118,101,58,114,42,51,121,179,105,237,164,194,116,232,81,98,230,353,225,390,282,295,0,0,0,0,0,0,0,0,0,0,0
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT,2019,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT,2019,,10758,3856,987,2960,1743,694,348,287,783,2605,186,34,395,634,0,1,0,0,1,0,0,0,0,5274,5444,375,1194,381,229,435,911,1029,431,202,87,342,1181,411,182,470,1146,997,394,237,84,723,2387,792,411,905,2057,2034,825,439,171,26,6,12,0,0,0,0,8,0,0,0
Residential,1,BYV,BAYVIEW,SOUTH,BUILT-OUT,1960s/1970s,2019,,751,248,34,236,169,43,10,12,14,212,0,0,0,36,0,0,0,0,0,0,0,0,0,359,392,8,51,26,21,23,43,46,57,57,27,6,45,45,24,17,56,49,63,52,35,14,96,71,45,40,99,95,120,109,62,0,0,0,0,0,0,0,0,0,0,0
Residential,1,SHG,SHAGANAPPI,CENTRE,BUILT-OUT,1950s,2019,,1626,855,63,338,379,75,24,33,344,367,127,8,228,38,0,84,0,0,0,0,0,3,0,817,800,41,71,27,72,228,142,85,94,38,19,43,61,29,63,222,146,100,71,40,25,84,132,56,135,450,288,185,165,78,44,0,0,0,0,0,0,0,0,0,0,0
Residential,1,WLD,WILDWOOD,WEST,BUILT-OUT,1950s,2019,,2709,1111,172,881,708,112,63,39,188,1026,18,0,48,0,0,18,0,0,1,0,0,0,0,1318,1376,76,203,62,64,107,228,181,217,104,76,94,174,63,53,129,236,191,224,103,109,170,377,125,117,236,464,372,441,207,185,0,0,0,0,0,0,0,0,0,0,0
Residential,1,EYA,ELBOYA,CENTRE,BUILT-OUT,1950s,2019,,1754,771,90,383,387,47,38,23,271,471,11,0,249,20,0,18,0,0,0,1,0,1,0,893,859,53,111,52,52,109,158,132,120,74,32,47,126,56,40,95,145,121,106,80,43,100,237,108,92,204,303,253,226,154,75,0,0,0,0,0,0,0,0,0,0,0
Residential,1,BRI,BRIDLEWOOD,SOUTH,BUILT-OUT,2000s,2019,,12641,4218,1231,3192,1802,974,361,255,826,2864,305,3,792,205,0,49,0,0,0,0,0,0,0,6209,6399,453,1007,466,307,789,1219,1006,564,283,115,465,1040,422,320,832,1314,947,578,339,142,918,2054,888,627,1621,2533,1953,1142,622,257,7,0,7,0,0,0,0,0,0,0,0
Residential,1,LKB,LAKE BONAVISTA,SOUTH,BUILT-OUT,1960s/1970s,2019,,10293,4108,600,3516,2402,846,264,125,471,3272,0,0,829,1,0,3,0,0,1,1,0,1,0,5130,5138,223,677,310,269,382,674,683,785,609,518,230,595,249,203,358,712,653,835,721,582,453,1272,559,472,747,1386,1336,1620,1330,1100,7,0,0,0,0,7,0,0,0,0,0
Residential,1,SNA,SUNALTA,CENTRE,BUILT-OUT,INNER CITY,2019,,3239,2165,71,451,861,99,95,132,978,238,13,4,1684,88,0,133,0,4,0,0,0,1,0,1692,1532,50,64,24,55,495,600,255,98,41,10,43,62,17,72,564,458,201,71,32,12,93,126,41,127,1066,1058,456,169,73,22,7,0,0,0,0,7,0,0,0,0,0
Residential,1,BOW,BOWNESS,NORTHWEST,BUILT-OUT,1950s,2019,,11150,5398,850,2523,2961,512,343,131,1450,2370,903,77,670,905,0,456,4,2,0,1,0,10,0,5547,5566,303,552,248,299,988,918,753,780,461,245,344,548,188,314,969,870,660,750,516,407,647,1100,436,613,1964,1794,1413,1536,977,652,19,0,0,0,0,7,6,0,6,0,0
Residential,1,GAW,GARRISON WOODS,CENTRE,BUILT-OUT,INNER CITY,2019,,3116,1427,142,1025,771,164,147,96,248,426,212,0,469,304,0,10,0,0,4,1,1,0,0,1386,1716,68,184,85,45,158,207,252,160,112,115,88,219,78,39,186,236,281,194,153,242,156,403,163,84,344,443,533,354,265,357,0,0,0,0,0,0,0,0,0,0,0
Residential,1,ASP,ASPEN WOODS,WEST,DEVELOPING,BUILDING OUT,2019,,9446,3068,933,2455,1293,431,368,455,520,2202,13,1,341,507,0,3,0,0,0,1,0,0,0,4650,4767,327,960,343,194,441,860,841,443,147,94,347,870,323,194,524,1015,803,380,178,133,674,1836,666,388,965,1875,1644,823,325,227,6,0,6,0,0,0,0,0,0,0,0
